,獸醫診所名稱,Name of Vet Clinic,營業地址,Business Address,Latitude,Longitude,區,營業電話號碼1,營業電話號碼2,營業電話號碼3,cat,place_id
121,Pets Central 流動寵物醫療車,Pets Central Mobile Vet Clinic,新界荃灣馬灣珀麗灣及元朗錦繡花園,"Park Island and Fairview Park, NT",22.3510907,114.0602229,荃灣區,62230903,-,-,S,ZERO_RESULTS
122,沙咀道獸醫動物及珍禽異獸醫院,Sha Tsui Road Vet Small Animal & Exotics Hospital,新界荃灣沙咀道186號友聯樓地下14號鋪,"Shop 14, G/F, Union Building, 186 Sha Tsui Road, Tsuen Wan, NT",22.371962,114.11231599999999,荃灣區,26235500,-,-,S,ChIJa5NwRO74AzQRCqrdZGz6s4U
123,享和動物醫療中心,Heung Wo Animal Medical Centre,新界荃灣沙咀道136-138號地下,"G/F, 136-138 Sha Tsui Road, Tsuen Wan, NT",22.372128600000003,114.1119906,荃灣區,24903732,-,-,S,ChIJYUpSWu74AzQR966HhSj1PvY
124,享和珍禽異獸醫療中心,Heung Wo Exotic Veterinary Centre,新界荃灣享和街84號安豐大厦地下,"G/F, On Fung Building, No. 84 Heung Wo Street, Tsuen Wan, NT",22.371371,114.11211770000001,荃灣區,24932178,24932179,-,S,ChIJta_yWe74AzQR6wzUl5yP-2w
125,珀麗灣獸醫診所,Park Island Animal Clinic,新界馬灣馬灣大街北322號地下,"G/F, 322 Ma Wan Main Street Village North, Ma Wan, NT",22.353423,114.058981,荃灣區,67383280,-,-,S,ChIJ9cJXPFL5AzQRNfZUrol-3go
126,香港獸醫,Hong Kong Animal Healthcare,新界青衣青裕新村40號地下,"G/F, 40 Tsing Yu New Village, Tsing Yi, NT",22.355749,114.102015,荃灣區,24350322,-,-,S,ChIJg6WUKrQABDQRSaBZSggOrnU
127,優獸生活 Paws@Quality Of Life,,新界荃灣荃灣街巿街146號坤成樓地下3號鋪,"Shop No. 3, G/F, Kwan Shing Building, 146 Tsuen Wan Market Street, Tsuen Wan, NT",22.3696901,114.1205716,荃灣區,27820999,-,-,S,ZERO_RESULTS
128,柏圖獸醫診所,Patel Veterinary Clinic,新界元朗鳳攸北街5-7號順豐大廈36號鋪地下,"G/F, Shop 36, Shun Fung Building, 5-7 Fung Yan North Street, Yuen Long, NT",22.4438492,114.0338412,元朗區,24439893,-,-,S,ChIJvQYWLqHwAzQRFkMu-Znrtms
129,維多利寵物診所 (元朗),Victoria Veterinary Clinic (Yuen Long),新界元朗民合徑8號幸福樓二期地下11號鋪,"Shop 11, G/F, Hing Fook Building, Phase II, 8 Man Hop Path, Yuen Long, NT",22.4450734,114.02350279999999,元朗區,24778929,-,-,S,ChIJrcgXwJ_wAzQRAS6Kcs0yKqc
130,博愛動物醫院,Hospital of Dedication to Animals,新界元朗泰衡街2號大興大廈地下F鋪,"G/F, Shop F, Tai Hing Building, Tai Hang Street, Yuen Long, NT",22.4457529,114.0294385,元朗區,24762988,-,-,S,ChIJ0XUKu5upQjQRu6GXEFO3fM0
131,元朗動物診所,Johnny & Vivian Animal Clinic,新界元朗又新街39號地下,"G/F, 39 Yau San Street, Yuen Long, NT",22.4425756,114.0310827,元朗區,24788733,-,-,S,ChIJu31JUqfwAzQRbJWtEqcbjak
132,SAA伍威權動物醫療中心,SAA Albert Wu Veterinary Centre,新界元朗安樂路 35-47 號利群樓地下,"G/F, Lee Kwan Building, No. 35-47 On Lok Road, Yuen Long, NT",22.4454288,114.03184350000001,元朗區,24752231,-,-,S,ChIJp_LN26bwAzQRgtsDPtxVRJ4
133,專一動物診所,The AIM Animal Clinic,新界元朗鳳翔路69號建輝大廈地下19號鋪,"G/F, Shop 19, Kin Fai Building, 69 Fung Cheung Road, Yuen Long, NT",22.4421341,114.03254040000002,元朗區,24706683,-,-,S,ChIJe9bo3wn6AzQRRNbA2pBIlyk
134,錦田動物醫院,Pet Elements Animal Hospital,新界元朗錦田錦田巿108號地下,"G/F, 108 Kam Tin Shi, Kam Tin, Yuen Long, NT",22.440097899999998,114.06196829999999,元朗區,24752851,-,-,S,ChIJi602NFj3AzQRrZCriauKcJU
135,錦綉動物診所,Fairview Veterinary Clinic,新界元朗馬田村201號,"201 Ma Tin Tsuen, Yuen Long, NT",22.440437,114.02361100000002,元朗區,24718980,23883205,-,S,ChIJd5eMLgv6AzQRWQInaclU200
136,元朗獸醫動物及珍禽異獸醫院,Yuen Long Veterinary Small Animal & Exotics Hospital,新界元朗屏會街25號福順樓地下2號鋪,"Shop 2, G/F, Fook Shun Building, 25 Ping Wui Street, Yuen Long, NT",22.447209,114.02181000000002,元朗區,24779990,-,-,S,ChIJGU9boAr6AzQRCbMFOVxHlkc
137,優活動物診所,Best Life Animal Hospital,新界元朗鳳攸東街 9號好順意大廈A座地下36及37號鋪,"Shop 36 & 37, G/F Ho Shun Yee Building, 9 Fung Yau Street East, Yuen Long, NT",22.442853,114.03495,元朗區,29659518,-,-,S,ChIJ9ek3kafwAzQRk95rmSGG9tI
138,愛護動物協會 (元朗錦綉動物福利中心),SPCA (Yuen Long Fairview Centre),新界元朗錦綉大道與錦壆路交界,"Fairview Boulevard and Kam Po Road Junction, Yuen Long, NT",22.472901699999998,114.05107849999999,元朗區,24822770,-,-,S,ChIJiQxUfS33AzQRQgDlSrPEUQU
139,新太陽動物醫務所,New Sun Veterinary Clinic Ltd,新界元朗鳳攸北街 9號A昌威大廈地下2號鋪,"Shop 2, G/F, Cheong Wai Mansion, 9A Fung Yau North Street, Yuen Long, NT",22.444180300000003,114.03353929999999,元朗區,24758802,-,-,S,ZERO_RESULTS
140,元朗仁愛獸醫診所,PetCore Veterinary Clinic,新界元朗安寧路110-136A號好景樓地下12號鋪,"Shop 12, G/F, Ho King House, 110-136A On Ning Road, Yuen Long, NT",22.4462968,114.0239686,元朗區,23947300,-,-,S,ChIJuxskdp_wAzQRdyD_U8a2Vzw
141,卡素拿動物醫院,Casula Veterinary Hospital,新界元朗教育路87-99號鴻發大廈地下G-H鋪,"Shop G-H, G/F, Hung Fat House, 87-99 Kau Yuk Road, Yuen Long, NT",22.4428897,114.02413130000001,元朗區,29822181,-,-,S,ChIJw9DHWnX6AzQRWEpF9Cu6l8I
142,愛護動物協會 (長洲中心),SPCA (Cheung Chau Clinic),長洲東灣,"Tung Wan, Cheung Chau",22.210419100000003,114.02993870000002,長洲,29814176,-,-,S,ChIJ_3ilB45WATQRfVtg18Hu9Og
143,Harry Potter's Veterinary Clinic,,長洲北社新村103號,"103 Pak She San Tsuen, Cheung Chau",22.213779000000002,114.026204,長洲,98073910,69734595,-,S,ZERO_RESULTS
144,太陽動物醫務所,Dr Sun Veterinary Clinic,大嶼山梅窩麻布村31號,"No.31, Ma Po Tsuen, Mui Wo, Lantau Island",22.265256,113.99183799999999,大嶼山,82022633,-,-,S,ChIJUzZMXddXATQR9IIq9dvI8Qw
145,愛護動物協會 (梅窩中心),SPCA (Mui Wo Clinic),大嶼山梅窩中心14號,"Shop 14, Mui Wo Centre, Mui Wo, Lantau Island",22.264246,114.001648,大嶼山,29840060,-,-,S,ChIJt5NtNitWATQREKoa-ELYFOM
146,Tung Chung Vet Centre,,大嶼山東涌海堤灣畔商場地下Q2號鋪,"Shop Q2, Seaview Crescent Retail Shops, 8 Tung Chung Waterfront Road, Tung Chung, Lantau Island",22.292130899999997,113.94226210000001,大嶼山,23287282,-,-,S,ChIJUfOYlLDiAzQRwGlqxTYU8RQ
147,貝澳獸醫診所,Sigma Veterinary Services Consultants,大嶼山貝澳新圍村地下 (新圍村鄉公所對面),"G/F, San Wai Tsuen, Pui O, Lantau Island (opposite to San Wai Village Office)",22.243438100000002,113.97741869999999,大嶼山,29840311,-,-,S,ZERO_RESULTS
148,離島獸醫服務,Island Veterinary Services Ltd,大嶼山愉景灣愉景廣場B座G10,"Block B, G10, DB Plaza, Discovery Bay, Lantau Island",22.296272000000002,114.016186,大嶼山,29879003,-,-,S,ChIJUYfKqbv9AzQRwIkFSA2ixAE
149,Community Vet Clinic Ltd.,,大嶼山貝澳新圍村地下 (新圍村鄉公所對面),"G/F, San Wai Tsuen, Pui O, Lantau Island (opposite to San Wai Village Office)",22.243438100000002,113.97741869999999,大嶼山,34866100,-,-,S,ChIJ07kb-L1XATQR1xtRlwrJFHI
150,南丫島獸醫診所,Lamma Veterinary Clinic,南丫島榕樹灣大街64號地下,"G/F, 64 Main Street, Yung Shue Wan, Lamma Island",22.2265488,114.1091169,南丫島,29822481,-,-,S,ChIJNbFerhNVATQRJDU-Y57stmA
