獸醫診所名稱,Name of Vet Clinic,營業地址,Business Address,Latitude,Longitude,區,營業電話號碼1,營業電話號碼2,營業電話號碼3,cat
黎昌生獸醫診所,Dr Eric's Animal Clinic,香港跑馬地山光道1號A意廬小築地下B鋪,"Portion B, G/F, Igloo Residence, 1A Shan Kwong Road, Happy Valley, HK",22.2689738,114.1841223,灣仔區,28932988,-,-,S
香港獸醫中心,Hong Kong Veterinary Centre,香港灣仔堅尼地街12-12A號地下,"G/F, 12-12A Kennedy Street, Wan Chai, HK",22.2735543,114.1745347,灣仔區,25202373,-,-,S
皇后大道東獸醫診所,Phoenix Animal Clinic,香港灣仔月街1-3號C鋪,"Shop C, 1-3 Moon Street, Wan Chai, HK",22.2764465,114.1684358,灣仔區,28654320,-,-,S
愛護動物協會 (灣仔總部),SPCA (Wanchai Headquarters),香港灣仔運盛街5號,"5 Wan Shing Street, Wan Chai, HK",22.2820419,114.1787232,灣仔區,28020501,-,-,S
皇后大道東獸醫診所,Phoenix Animal Clinic Limited,香港灣仔軒尼詩道67號地下,"G/F, 67 Hennessy Road, Wan Chai, HK",22.277733,114.1711224,灣仔區,28654320,-,-,S
灣仔獸醫診所,Wanchai Animal Clinic,香港灣仔交加里7號永成大廈地下及地庫,"G/F & B/F, Wing Shing Mansion, 7 Cross Lane, Wan Chai, HK",22.2765695,114.1762385,灣仔區,25725422,-,-,S
思恩獸醫診所,Centaur Veterinary Clinic,九龍何文田自由道1號C鋪,"Shop C, 1 Liberty Avenue, Ho Man Tin, Kln",22.318956,114.1739627,九龍城區,27138950,-,-,S
太平道寵物診所,Peace Avenue Verterinary Clinic,九龍何文田自由道7號地下B鋪及1樓,"Shop B, G/F & 1/F, 7 Liberty Avenue, Kln",22.318874,114.17416,九龍城區,36503000,-,-,S
仁安獸醫診所,Comfort Veterinary Clinic,九龍何文田自由道9號地下,"G/F, 9 Liberty Avenue, Ho Man Tin, Kln",22.318951,114.1745,九龍城區,27120772,-,-,S
愛護動物協會 (九龍中心),SPCA (Kowloon Centre),九龍何文田公主道105號 (愛民村油站旁),"105, Princess Margaret Road, Ho Man Tin, Kln (Next to Oi Man Estate Petrol Station)",22.311365,114.177606,九龍城區,27139104,-,-,H
港九寵物醫院,The Hong Kong & Kowloon Pet Hospital,九龍何文田梭椏道13號地下,"G/F, 13 Soares Avenue, Ho Man Tin, Kln",22.3191793,114.1750437,九龍城區,27122918,-,-,S
香港獸醫診所,Hong Kong Veterinary Clinic,九龍何文田梭椏道23號B地下,"G/F, 23B, Soares Avenue, Ho Man Tin, Kln",22.3196525,114.1747987,九龍城區,27629712,-,-,S
梭椏道寵物診所,Soares Avenue Paws & Claws Clinic,九龍何文田梭椏道29-33號仁儀苑地鋪,"G/F, Yen Yee Mansion, 29-33 Soares Avenue, Ho Man Tin, Kln",22.3198851,114.1747058,九龍城區,27609663,-,-,S
活力獸醫診所,Energetic Veterinary Clinic,九龍何文田梭椏道27號地庫,"B/F, 27, Soares Avenue, Ho Man Tin, Kln",22.3199057,114.1747718,九龍城區,27689318,-,-,S
旺角動物診所,Mongkok Animal Clinic,九龍何文田窩打老道66號A地下,"G/F, 66A, Waterloo Road, Ho Man Tin, Kln",22.3169498,114.1745201,九龍城區,27601026,-,-,S
紅磡獸醫診所,Hung Hom Veterinary Clinic,九龍紅磡黃埔新村民泰街30號地下,"G/F, 30 Man Tai Street, Whampoa Estate, Hung Hom, Kln",22.3064539,114.1882427,九龍城區,23307566,-,-,H
小小動物診所,Companion Animal Clinic,九龍紅磡山谷道10號地下4鋪,"Shop 4, G/F, 10 Valley Road, Hung Hom, Kln",22.3097793,114.1834039,九龍城區,27611281,-,-,H
柏衛獸醫診所,Petwise Veterinary Clinic,九龍紅磡蕪湖街117號地下,"G/F, 117 Wuhu Street, Hung Hom, Kln",22.3074837,114.1853228,九龍城區,23343538,-,-,S
澳洲獸醫醫院,Australia Veterinary Hospital,九龍紅磡民泰街29號A地下,"G/F, 29A Man Tai Street, Hung Hom, Kln",22.3068194,114.1882069,九龍城區,23305252,-,-,S
栢衛獸醫診所,Petwise Veterinary Clinic,九龍紅磡漆咸道北436-450號富運大廈地下5號鋪,"Shop 5, G/F, Full Wing Building, 436-450 Chatham Road North, Hung Hom, Kln",22.311875,114.186211,九龍城區,23343538,-,-,S
九龍動物醫院,Kowloon Veterinary Hospital,九龍九龍城啟德道50號地下,"50 Kai Tak Road, Kowloon City, Kln",22.32976,114.192351,九龍城區,23823300,-,-,S
摯愛動物醫院,Essence Veterinary Hospital,九龍九龍城打鼓嶺道56號地下,"G/F, 56 Tak Ku Ling Road, Kowloon City, Kln",22.32976,114.191661,九龍城區,23823113,-,-,H
柏域獸醫診所,Pet N Vet Clinic,九龍九龍城城南道32號地下,"G/F, 32 Shing Nam Road, Kowloon City, Kln",22.3293156,114.1910348,九龍城區,23820228,-,-,S
九龍城中央動物醫院,Kowloon City Central Animal Hospital,九龍九龍城獅子石道6號地下,"G/F, 6 Lion Rock Road, Kowloon City, Kln",22.3279626,114.1883026,九龍城區,28111160,-,-,S
安信獸醫診所,Ixrust Veterinary Clinic,九龍土瓜灣馬頭圍道418號地下3號鋪,"Shop 3, 418 Ma Tau Wai Road, To Kwa Wan, Kln",22.319163,114.187363,九龍城區,23234417,-,-,S
土瓜灣動物醫院,Faithful Veterinary Hospital,九龍土瓜灣北帝街139號地下及閣樓,"G/F & Cockloft, 139 Pak Tai Street, To Kwa Wan, Kln",22.3236065,114.189484,九龍城區,27119909,-,-,S
柏得康獸醫診所,Pet Health Veterinary Clinic,九龍土瓜灣馬坑涌道5B-5F號中華商場地下1號鋪,"Shop 1, G/F, Chung Wah Shopping Arcade, 5B - 5F Ma Hang Chung Road, To Kwa Wan, Kln",22.319949,114.188768,九龍城區,27112028,-,-,S
雅發動物診所,Alpha Vet Clinic,九龍深水埗欽州街65號榮業商業大廈4樓4室,"Room 4, 4/F, Wing Yip Commercial Building, 65 Yen Chow Street, Sham Shui Po, Kln",22.3329517,114.1617941,深水埗區,27088973,-,-,S
亞太動物醫院,Asia-Pacific Animal Hospital,九龍深水埗大南街 79 號地下,"G/F, 79 Tai Nam Street, Sham Shui Po, Kln",22.3251441,114.1656652,深水埗區,28987122,-,-,S
希樂動物診所,Healer Animal Clinic,九龍深水埗鴨寮街17號地下,"G/F, 17 Apliu Street, Sham Shui Po, Kln",22.3268206,114.1661135,深水埗區,23970800,-,-,S
太子動物醫療診所,Prince Animal Clinic,九龍深水埗鴨寮街24號地下,"G/F, 24 Apliu Street, Sham Shui Po, Kln",22.3271815,114.1661177,深水埗區,23808408,-,-,S
嘉名動物診所,KM Animal Clinic,九龍深水埗石硤尾街10號地下,"G/F, 10 Shek Kip Mei Street, Sham Shui Po, Kln",22.328225,114.163949,深水埗區,23963511,-,-,H
非牟利獸醫診所,Non-Profit making Veterinary Service Society,"九龍太子基隆街24, 29, 77, 79號","24, 29, 77, 79, Ki Lung Street, Prince Edward, Kln",22.325076,114.167151,深水埗區,23932070,-,-,S
美孚獸醫醫院,Mei Foo Veterinary Hospital,九龍美孚新村第五期蘭秀街7號B地下N4鋪,"Shop N4, G/F, 7B Nassau Street, Mei Foo Sun Chuen Phase 5, Kln",22.339705,114.1384378,深水埗區,27438885,24170993,-,S
楓樹獸醫診所,Maple Veterinary Clinic,九龍深水埗楓樹街9-13號華楓樓地下,"G/F, Maple Mansion, 9-13 Maple Street, Sham Shui Po, Kln",22.3265754,114.1646273,深水埗區,35763288,-,-,S
大角咀獸醫診所,Tai Kok Tsui Veterinary Clinic,九龍大角咀樂群街13號中原樓地下,"G/F, Chung Yuen Building, 13 Lok Kwan Street, Tai Kok Tsui, Kln",22.3228585,114.1608852,油尖旺區,23147906,-,-,H
毛國界動物醫院,Any.Mo Veterinary Hospital,九龍大角咀鐵樹街1-39號金堂閣地下21號鋪,"Shop 21, G/F, King Tong Heights, No 1-39, Tit Shu Street, Tai Kok Tsui, Kln",22.3191361,114.1633994,油尖旺區,21423399,-,-,S
繽紛寵物診所,Joy n Fun Veterinary Clinic,九龍大角咀中匯街15號中和樓地下,"G/F, Chung Wo Building, 15 Chung Wui Street, Tai Kok Tsui, Kln",22.3223535,114.1614422,油尖旺區,27872338,-,-,S
恩典動物診所,Amazing Grace Animal Care Ltd,九龍旺角勝利道11號建豐閣地下A鋪,"Shop A, G/F, Kin Fung Court, 11 Victory Avenue, Mong Kok, Kln",22.319794,114.174275,油尖旺區,27118482,-,-,S
綠十字寵物診所,Green Cross Veterinary Clinic,九龍旺角窩打老道37地下,"G/F, 37 Waterloo Road, Mong Kok, Kln",22.3161303,114.1734648,油尖旺區,27805338,-,-,S
麥花臣動物診所,Macpherson Animal Clinic,九龍旺角洗衣街26號興業樓地下,"G/F, Hing Yip House, 26 Sai Yee Street, Mong Kok, Kln",22.3176937,114.1722907,油尖旺區,27812386,-,-,S
九龍貓醫院,Kowloon Cat Hospital,九龍砵蘭街430號利聯大廈地下,"G/F, Lee Luen Mansion, 430 Portland Street, Mong Kok, Kln",22.3258524,114.1675533,油尖旺區,23092011,-,-,S
勝利動物醫院,Victory Animal Hospital,九龍旺角窩打老道71號B松園大廈1樓B鋪(診所正門：艷馬道2號地下),"Block B, 1/F, Chung Yuen Mansion, 71B Waterloo Road, Mong Kok, Kln (Clinic front door: 2 Emma Avenue)",22.3191066,114.1754954,油尖旺區,27110332,-,-,S
太平道寵物診所,Peace Avenue Veterinary Clin,九龍旺角自由道7號B地下,"G/F, 7B Liberty Avenue, Mong Kok, Kowloon",22.318874,114.17416,油尖旺區,36503000,-,-,S
Pets Central Hospital,,九龍旺角上海街488號順明大厦1樓&2樓,"1/F & 2/F Sun Ming Building, 488 Shanghai Street, Mong Kok, Kowloon",22.3164651,114.168867,油尖旺區,23092139,-,-,S
東九龍動物醫院,Kowloon East Animal Hospital,九龍觀塘通明街50號康寧大廈地下,"G/F, 50, Tung Ming Street, Hong Ning Building , Kwun Tong, Kln",22.315992,114.223012,觀塘區,23456504,-,-,S
Vet Path Asia Laboratory,,九龍觀塘偉業街146號美嘉工業大厦8樓D12室,"Unit D12, 8/F, Mai Gar Industrial Building, 146 Wai Yip Street, Kwun Tong",22.3114924,114.2194527,觀塘區,26251530,-,-,S
亞洲獸醫診所,Asia Veterinary Clinic,新界西貢萬年街28號地下,"G/F, 28, Man Nin Street, Sai Kung, NT",22.3815696,114.2720269,西貢區,21944312,-,-,S
好朋友動物醫院,Best Friends Vet Hospital,新界西貢海傍街6號地下,"G/F, 6 Hoi Pong Street, Sai Kung, NT",22.379239,114.2710507,西貢區,27928555,-,-,S
Animal Behaviour Veterinary Practice,,新界西貢木棉山路紅棉村40號,"40 Cotton Tree Villas, Muk Min Shan Road, Sai Kung, NT",22.3899879,114.2730818,西貢區,96182475,-,-,S
愛護動物協會 (西貢中心),SPCA (Sai Kung),新界西貢沙咀街7號,"7 Sha Tsui Path, Sai Kung, NT",22.381171,114.2721828,西貢區,27921535,-,-,S
Pets Central 西貢診所,Pets Central Sai Kung,新界西貢宜春街66號4號鋪,"Shop 4, 66 Yi Chun Street, Sai Kung, NT",22.3805437,114.2715669,西貢區,27920833,-,-,S
西貢動物醫院,Sai Kung Animal Hospital,新界西貢萬年街30號地下,"G/F, 30 Man Nin Street, Sai Kung, NT",22.3814969,114.2721206,西貢區,27922206,-,-,S
黎昌生獸醫診所,Dr Eric's Animal Clinic,新界將軍澳唐俊街11號寶盈花園地下S4和S4E鋪,"Shop S4 & S4E, G/F, Bauhinia Garden, 11 Tong Chun Street, Tseung Kwan O,",22.3064945,114.2623312,西貢區,22446898,-,-,S
愛護動物協會 (坑口中心),SPCA (Hang Hau Centre),新界將軍澳坑口村5座2樓B室,"Flat B, 2/F, Block 5, Hang Hau Village, Tseung Kwan O, NT",22.320441,114.266616,西貢區,22430080,-,-,S
Pets Central 將軍澳診所,Pets Central Tseung Kwan O,新界將軍澳將軍澳中心B01A鋪,"Shop B01A, Park Central, Tseung Kwan O, NT",22.3071128,114.2571434,西貢區,22446684,-,-,S
將軍澳獸醫醫院,Tseung Kwan O Veterinary Hospital,新界將軍澳新都城中心三期商場地下G6鋪,"Shop G6, G/F, Metro City Phase 3, Tseung Kwan O, NT",22.322851,114.257009,西貢區,31946001,-,-,S
坑口獸醫診所,Hang Hau Veterinary Clinic,新界將軍澳坑口村第4座1樓A室,"Flat A, 1/F, Block 4, Hang Hau Village, Tseung Kwan O, NT",22.3207,114.266511,西貢區,27191019,-,-,S
和泰動物診所,Wo Tai Companion Animal Clinic,新界粉嶺聯和墟和泰街21號地下,"G/F, 21 Wo Tai Street, Luen Wo Market, Fanling, NT",22.4991646,114.1416707,新界北區,26756899,-,-,S
上水寵物診所,Sheung Shui Veterinary Clinic,新界上水新成路6號,"6 San Shing Avenue, Sheung Shui , NT",22.506199,114.127302,新界北區,26392229,-,-,S
維多利寵物診所 (上水),Victoria Veterinary Clinic (Sheung Shui),新界上水新成路20號地下A-B室,"Shop A and B, G/F, 20 San Shing Avenue, Sheung Shui, NT",22.5059833,114.1278063,新界北區,26686556,-,-,S
北區寵物診所,Northern Animal Clinic,新界上水新成路111號地下,"G/F, 111 San Shing Avenue, Sheung Shui, NT",22.5044109,114.1298035,新界北區,23111707,26731727,-,S
仁德動物醫院服務,Pet Cares Professional Veterinary Services,新界大埔寶鄉街42號地下,"G/F, 42 Po Heung Street, Tai Po, NT",22.4472981,114.1662713,大埔區,26382869,-,-,S
大埔獸醫(珍禽異獸)診所,Tai Po (All Creatures) Veterinary Clinic,新界大埔戲院街3號地下,"G/F, 3 Hei Yuen Street, Tai Po, NT",22.4488904,114.1638497,大埔區,26506332,-,-,S
寶湖動物醫院,Plover Cove Animal Hospital,新界大埔廣褔道149至155號地下B室,"G/F, Shop B, 149-155 Kwong Fuk Road, Tai Po, NT",22.4478601,114.1691235,大埔區,26539399,-,-,S
研康獸醫診所 (大埔),Biorecovery Veterinary Clinic (Tai Po),新界大埔圍頭村163號,"163 Wai Tau Tsuen, Tai Po, NT",22.4630935,114.1479827,大埔區,26539297,-,-,S
日本動物病院,Japan Veterinary Clinic,新界大埔廣福道114/124廣福坊廣福樓2A鋪,"Shop 2A, G/F, No. 39 Kwong Fuk Square, Tai Po, NT",22.447797,114.168006,大埔區,23629988,-,-,S
綠十字寵物診所,Green Cross Veterinary Clinic,新界沙田正街希爾頓中心5B號鋪地下,"Shop 5B, G/F, Hilton Plaza, Shatin Centre Street, Shatin, NT",22.3793495,114.1868134,沙田區,26011219,-,-,S
沙田圍獸醫診所,Shatin Wai Pet Clinic,新界沙田崗背街9-11號全輝中心A座地下10號鋪,"Shop 10, G/F, Block A, Chuen Fai Centre, 9-11 Kong Pui Street, Shatin, NT",22.3801615,114.1972187,沙田區,39550110,39550111,39550112,S
大圍珍禽異獸及寵物醫院,Tai Wai Small Animal & Exotic Hospital,新界大圍積信街69-75號地下C及D鋪,"G/F, Shop C & D, 75 Chik Shun Street, Tai Wai, NT",22.3767729,114.1788858,沙田區,26871030,-,-,S
聯邦動物診所,Union Veterinary Clinic,新界大圍積存街46號葵偉樓地下,"G/F, Kwai Wai Building, 46 Chik Chuen Street, Tai Wai, NT",22.3766724,114.1781427,沙田區,26982185,-,-,S
俊康動物醫療中心,OTTO Veterinary Centre,新界大圍積存街54號葵偉大廈地下B鋪,"Shop B, G/F, Kwai Wai Building, 54 Chik Chuen Street, Tai Wai, NT",22.376802,114.178244,沙田區,26870226,26870260,-,S
沙田動物診所,Shatin Animal Clinic,新界大圍積存街 74-76號慶雲樓地下B鋪,"Shop B, G/F, Hing Wan House, 74-76 Chik Chuen Street, Tai Wai, NT",22.376916,114.17874,沙田區,26941452,-,-,S
西沙路動物醫院,Sai Sha Road Animal Hospital,新界馬鞍山新港城廣場地下6-7號鋪,"Shop 6-7, G/F, Sunshine Baazar, Ma On Shan, NT",22.424714,114.23013,沙田區,26305980,-,-,S
柏德獸醫診所,Castle Peak Pet Clinic,新界屯門青山公路385號置樂花園嘉喜利大廈地鋪12號,"Shop 12, Kei Hei Land Building, 385 Castle Peak Road, Tuen Mun, NT",22.388473,113.980031,屯門區,24042511,-,-,S
彩虹獸醫診所,Rainbow Veterinary Clinic,新界屯門青山公路良田村58號地下,"G/F, No. 58 Leung Tin Chuen, Area 36B, Tuen Mun, NT",22.3989476,113.9775531,屯門區,24309581,-,-,S
置樂動物診所有限公司,Chandler Animal Clinic,新界屯門彩華花園地下13號鋪,"Shop 13, G/F, Rainbow Garden, Tuen Mun, NT",22.385901,113.980278,屯門區,24301758,24301728,-,S
維多利寵物診所 (屯門),Victoria Veterinary Clinic (Tuen Mun),新界屯門德政圍18號海盛大廈地下3號鋪,"Shop 3, G/F Hoi Shing Building, 18 Tak Ching Court, Tuen Mun, NT",22.3952672,113.9748581,屯門區,24597217,-,-,S
康和動物醫療中心,Concord Animal Medical Centre,新界屯門青海圍8號屯景大廈地下E1鋪,"E1, Tuen King Building, No. 8 Tsing Hoi Circuit, Tuen Mun, NT",22.388644,113.9787789,屯門區,26408138,-,-,S
東方獸醫診所 (屯門),Oriental Veterinary Clinic (Tuen Mun),新界屯門良田新村107-108號地下,"G/F, 107-108 Leung Tin San Tsuen, Tuen Mun, NT",22.406698,113.965116,屯門區,24419816,-,-,S
景峰動物醫療中心,The Prime View Veterinary Centre,新界屯門井財街21號協邦大廈地下6-7號舖,"Shop 6-7, G/F, Hip Pont Building, 21 Tseng Choi Street, Tuen Mun, NT",22.401436,113.977561,屯門區,23631860,-,-,S
Jack's Veterinary,,新界屯門中央廣場海榮路22號18樓1808室,"1808, 18/F, Tuen Mun Central Square, No.22 Hoi Wing Road, Tuen Mun, NT",22.3812499,113.971792,屯門區,37096097,-,-,S
Dr George's 獸醫醫療中心,Dr George's Veterinary Medical Center,新界荃灣享成街28號仁惠苑地下5號鋪,"Shop 5, G/F, Yen Wai Garden, 28 Heung Shing Street, Tsuen Wan, NT",22.3720011,114.1107473,荃灣區,24988102,24988103,-,S
活泉動物醫療中心,Fountain of Life Animal Medical Centre,新界荃灣荃樂街1號荃樂大廈地下,"G/F, 1 Tsuen Lok Street, Tsuen Wan, NT",22.3696468,114.1202929,荃灣區,34812781,-,-,S
荃灣獸醫寵物醫院,Tsuen Wan VetnPet Hospital,新界荃灣沙咀道168號地下,"No.168 Sha Tsui Road, Tsuen Wan, NT",22.3718875,114.1125703,荃灣區,25730028,-,-,S
Pets Central 流動寵物醫療車,Pets Central Mobile Vet Clinic,新界荃灣馬灣珀麗灣及元朗錦繡花園,"Park Island and Fairview Park, NT",22.3510907,114.0602229,荃灣區,62230903,-,-,S
沙咀道獸醫動物及珍禽異獸醫院,Sha Tsui Road Vet Small Animal & Exotics Hospital,新界荃灣沙咀道186號友聯樓地下14號鋪,"Shop 14, G/F, Union Building, 186 Sha Tsui Road, Tsuen Wan, NT",22.371962,114.112316,荃灣區,26235500,-,-,S
享和動物醫療中心,Heung Wo Animal Medical Centre,新界荃灣沙咀道136-138號地下,"G/F, 136-138 Sha Tsui Road, Tsuen Wan, NT",22.3721286,114.1119906,荃灣區,24903732,-,-,S
享和珍禽異獸醫療中心,Heung Wo Exotic Veterinary Centre,新界荃灣享和街84號安豐大厦地下,"G/F, On Fung Building, No. 84 Heung Wo Street, Tsuen Wan, NT",22.371371,114.1121177,荃灣區,24932178,24932179,-,S
珀麗灣獸醫診所,Park Island Animal Clinic,新界馬灣馬灣大街北322號地下,"G/F, 322 Ma Wan Main Street Village North, Ma Wan, NT",22.353423,114.058981,荃灣區,67383280,-,-,S
香港獸醫,Hong Kong Animal Healthcare,新界青衣青裕新村40號地下,"G/F, 40 Tsing Yu New Village, Tsing Yi, NT",22.355749,114.102015,荃灣區,24350322,-,-,S
優獸生活 Paws@Quality Of Life,,新界荃灣荃灣街巿街146號坤成樓地下3號鋪,"Shop No. 3, G/F, Kwan Shing Building, 146 Tsuen Wan Market Street, Tsuen Wan, NT",22.3696901,114.1205716,荃灣區,27820999,-,-,S
柏圖獸醫診所,Patel Veterinary Clinic,新界元朗鳳攸北街5-7號順豐大廈36號鋪地下,"G/F, Shop 36, Shun Fung Building, 5-7 Fung Yan North Street, Yuen Long, NT",22.4438492,114.0338412,元朗區,24439893,-,-,S
